target_id	SRR25223640	SRR25223641	SRR25223642	SRR25223643	SRR25223644	SRR25223645	SRR25223646	SRR25223647	SRR25223648	SRR25223649	SRR25223650	SRR25223651	SRR25223652	SRR25223653	SRR25223654	SRR25223655
KH.C1.1039.v1.A.nonSL3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1039.v1.A.nonSL4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1039.v1.A.nonSL5-1	0	591	150	373	0	0	0	0	74	473	247	132	0	0	0	9
KH.C1.1039.v1.A.nonSL6-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1039.v1.A.nonSL7-1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1039.v1.A.nonSL9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.104.v1.A.SL1-1	588	556	528	785	2154	1684	1699	1285	402	369	567	469	1938	1855	1762	1619
KH.C1.1040.v1.A.SL1-1	4968	5032	3053	4700	2894	2394	2774	1985	4839	4589	3232	4363	2417	1690	2072	1966
KH.C1.1040.v1.A.SL2-1	73	86	61	24	0	0	0	0	219	73	71	49	62	12	0	0
KH.C1.1040.v1.A.SL3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1040.v1.A.SL5-1	0	256	23	359	79	143	47	16	37	345	291	732	637	228	141	79
KH.C1.1040.v1.A.nonSL4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1041.v1.A.SL1-1	249	648	1131	451	2610	1955	2204	1863	377	440	1004	382	2301	1444	2039	1941
KH.C1.1042.v1.A.nonSL2-1	384	128	39	398	49	671	1621	1267	170	117	62	313	54	377	679	617
KH.C1.1042.v2.A.ND1-1	0	49	3	23	2	85	234	228	10	3	6	12	53	58	73	111
KH.C1.1043.v1.A.ND1-1	626	476	948	540	1881	1718	2487	1810	556	415	777	548	1321	1889	2263	2089
KH.C1.1043.v1.A.SL1-1	626	476	948	540	1881	1718	2487	1810	556	415	777	548	1321	1889	2263	2089
KH.C1.1043.v2.A.SL2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1044.v1.A.SL1-1	2722	1713	2783	1801	4088	3841	5606	3990	2219	1865	2371	1276	2896	3580	5148	4354
KH.C1.1045.v1.A.SL1-1	0	0	0	0	20	30	0	29	0	0	0	0	44	17	26	9
KH.C1.1045.v1.A.SL2-1	151	132	172	84	0	0	25	0	71	130	555	115	1	0	0	0
KH.C1.1046.v1.A.SL1-1	3995	4441	4371	3963	5818	5615	5104	4184	4166	3750	3962	3398	5629	4749	5285	4693
KH.C1.1047.v1.A.ND1-1	2	1	0	2	1	3	0	0	0	0	1	2	4	0	0	0
KH.C1.1048.v1.A.ND1-1	0	0	22	5	10	0	0	0	11	5	16	16	0	0	0	0
KH.C1.1048.v1.A.SL2-1	36	23	8	25	0	7	4	3	14	8	9	54	14	4	6	3
KH.C1.1049.v1.A.ND1-1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1049.v1.A.SL4-1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1049.v2.A.ND2-1	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0
KH.C1.1049.v2.A.nonSL3-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1049.v2.R.ND2-1	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0
KH.C1.105.v1.A.ND1-1	57	91	462	90	1268	1402	1548	1048	348	110	412	148	844	1206	1320	1443
KH.C1.1050.v1.A.ND1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
KH.C1.1051.v1.A.SL1-1	76	0	11	43	0	0	0	0	118	11	0	108	54	11	0	11
KH.C1.1051.v2.A.SL2-1	11	0	0	39	35	58	66	139	23	0	27	61	0	113	205	216
KH.C1.1051.v3.A.SL3-1	0	0	44	0	0	0	32	0	7	6	0	12	23	0	0	0
KH.C1.1051.v4.A.SL4-1	89	120	209	275	530	536	1242	818	101	23	138	285	206	905	1559	1393
KH.C1.1052.v1.A.ND1-1	0	16	22	1	0	0	0	0	7	0	21	14	38	0	0	0
KH.C1.1052.v1.A.SL2-1	8	3	3	0	88	112	139	148	1	16	4	2	7	203	301	210
KH.C1.1052.v1.R.ND1-1	0	16	22	1	0	0	0	0	7	0	21	14	38	0	0	0
KH.C1.1053.v1.A.ND1-1	10	16	3	6	2	4	3	0	1	1	3	0	3	3	0	0
KH.C1.1054.v1.A.SL1-1	3622	2576	4066	1176	4871	3524	7436	5181	2871	1594	3544	1436	6744	2397	5793	6088
KH.C1.1055.v1.A.ND1-1	5	0	37	5	2	9	8	10	2	8	3	0	4	0	10	2
KH.C1.1056.v1.A.ND1-1	890	1733	4148	1146	7339	8122	10554	8542	1334	1510	3236	1138	4993	7228	8837	8833
KH.C1.1057.v1.A.SL1-1	544	1436	2011	1068	3304	4067	5312	3742	751	1047	1731	800	2737	5270	6049	5416
KH.C1.1058.v1.A.SL1-1	701	459	1259	290	2462	2685	2508	2134	373	404	867	257	2263	1750	2218	1788
KH.C1.1059.v1.A.ND1-1	998	612	864	526	1177	1454	1444	1007	775	603	680	564	987	1312	1176	1000
KH.C1.106.v1.A.ND2-1	1091	470	62	1300	297	6	1	2	1224	190	42	1566	136	6	1	5
KH.C1.106.v2.A.ND1-1	19	0	0	0	0	0	0	0	61	98	0	11	0	0	0	0
KH.C1.1060.v1.A.ND1-1	76	89	127	144	195	235	277	178	108	80	104	72	239	182	287	288
KH.C1.1061.v1.A.ND1-1	112	87	56	126	6	2	0	0	112	54	28	144	2	2	0	0
KH.C1.1062.v1.A.ND2-1	0	522	423	163	586	945	776	1011	488	130	64	33	1445	1337	1165	1461
KH.C1.1062.v1.A.SL1-1	514	292	852	316	2451	2653	4452	2780	0	489	1259	408	728	2193	3293	2575
KH.C1.1063.v1.A.SL1-1	1507	600	63	2478	140	57	78	56	1275	289	17	2080	52	316	422	461
KH.C1.1064.v1.A.SL1-1	4529	7881	10054	964	2623	1343	1965	1380	2263	6573	9207	1042	2354	1623	1893	1690
KH.C1.1065.v1.A.SL1-1	3821	3866	2427	3781	2914	4555	8637	6552	3776	2711	3639	3278	3631	4692	7660	7508
KH.C1.1066.v1.A.SL1-1	0	0	95	53	121	229	246	194	111	74	36	134	0	162	232	197
KH.C1.1066.v1.A.nonSL2-1	0	90	0	34	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1066.v1.A.nonSL3-1	80	0	0	2	0	0	0	0	0	0	25	0	98	12	0	0
KH.C1.1066.v1.A.nonSL4-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1067.v1.A.SL1-1	436	223	13	1268	13	3	14	1	385	162	22	1171	18	2	8	2
KH.C1.1068.v1.B.ND1-1	22	12	16	37	6	0	4	1	8	9	18	28	0	0	4	0
