target_id	length	eff_length	est_counts	tpm
KH.C1.1088.v1.A.SL1-1	1554	1343.87	49	2.738
KH.C1.1089.v1.A.ND1-1	1191	980.867	152.433	11.6698
KH.C1.109.v1.A.SL1-1	2106	1895.87	841	33.3106
KH.C1.1090.v1.A.SL1-1	4388	4177.87	557.552	10.0213
KH.C1.1091.v1.C.ND1-1	705	495.53	0	0
KH.C1.1092.v1.A.ND1-1	1654	1443.87	82.5037	4.29082
KH.C1.1092.v1.A.SL3-1	1549	1338.87	8.49178	0.476272
KH.C1.1092.v1.A.nonSL2-1	1645	1434.87	0.00456439	0.000238872
KH.C1.1093.v1.A.ND2-1	2281	2070.87	4.20362e-08	1.52428e-09
KH.C1.1093.v1.R.ND2-1	2281	2070.87	4.20362e-08	1.52428e-09
KH.C1.1093.v2.A.ND1-1	2355	2144.87	0	0
KH.C1.1093.v2.R.ND1-1	2355	2144.87	0	0
KH.C1.1093.v3.A.SL3-1	2445	2234.87	14576.1	489.76
KH.C1.1094.v1.A.SL1-1	1883	1672.87	53.5275	2.40276
KH.C1.1095.v1.A.SL1-1	1707	1496.87	282	14.1468
KH.C1.1096.v1.A.ND1-1	2134	1923.87	37	1.44418
KH.C1.1097.v1.A.ND1-1	439	238.443	39	12.2821
KH.C1.1098.v1.B.ND1-1	2043	1832.87	0	0
KH.C1.1098.v1.B.SL2-1	2047	1836.87	0	0
KH.C1.1098.v1.R.ND1-1	2043	1832.87	0	0
KH.C1.1099.v1.A.SL1-1	2681	2470.87	1855.69	56.3962
KH.C1.1099.v1.A.SL3-1	660	450.967	28.3116	4.71426
KH.C1.1099.v1.A.nonSL2-1	2131	1920.87	0	0
KH.C1.11.v1.A.SL1-5	1089	878.867	339.448	29.003
KH.C1.11.v1.A.nonSL2-5	1116	905.867	3.70004	0.306715
KH.C1.11.v2.A.SL1-3	2150	1939.87	6765.56	261.894
KH.C1.11.v2.A.nonSL2-3	2177	1966.87	847.036	32.3386
KH.C1.11.v3.A.SL1-4	506	300.926	15.4082	3.84491
KH.C1.11.v3.A.nonSL2-4	533	326.799	0	0
KH.C1.11.v4.A.SL1-1	899	688.935	33.9935	3.7052
KH.C1.11.v4.A.nonSL2-1	926	715.894	0.12263	0.012863
KH.C1.11.v5.A.SL1-2	1400	1189.87	333.123	21.0233
KH.C1.11.v5.A.nonSL2-2	1427	1216.87	11.6054	0.71616
KH.C1.110.v1.A.SL1-1	1981	1770.87	0	0
KH.C1.110.v1.A.SL2-1	1927	1716.87	0	0
KH.C1.110.v2.A.SL1-2	1369	1158.87	0	0
KH.C1.110.v2.A.SL2-2	1315	1104.87	98.796	6.71464
KH.C1.110.v3.A.SL3-2	655	446.029	0	0
KH.C1.110.v4.A.SL3-1	1207	996.867	122.204	9.20539
KH.C1.1100.v1.A.ND1-1	3217	3006.87	167.033	4.1714
KH.C1.1100.v1.A.SL2-1	3228	3017.87	525.934	13.0865
